GJOIN2010,GJOIN2020,WEIGHT,PAREA
G36004700029012003,G36004700029012003,1.0,1.0
G36004700029012004,G36004700029012006,1.0,1.0
G36004700029012005,G36004700029012005,1.0,1.0
G36004700029012006,G36004700029012007,1.0,1.0
G36004700030001000,G36004700030001000,0.759259259259,0.759259259259
G36004700030001000,G36004700030001001,0.240740740741,0.240740740741
G36004700030001001,G36004700030001000,0.101136582547,0.101136582547
G36004700030001001,G36004700030001001,0.898863417453,0.898863417453
G36004700030001002,G36004700030001000,0.478839752734,0.478839752734
G36004700030001002,G36004700030001001,0.521160247266,0.521160247266
G36004700030001003,G36004700030001001,1.0,1.0
G36004700030001004,G36004700030001004,1.0,1.0
G36004700030001005,G36004700030001003,1.0,1.0
G36004700030001006,G36004700030001002,1.0,1.0
G36004700030001007,G36004700030001005,1.0,1.0
G36004700030002000,G36004700030002000,1.0,1.0
G36004700030002001,G36004700030002001,1.0,1.0
G36004700031001000,G36004700031011000,1.0,1.0
G36004700031001001,G36004700031011001,0.834048640916,0.899324682509
G36004700031001001,G36004700031011002,0.165951359084,0.100675317491
G36004700031002000,G36004700031012000,0.91439688716,0.99217136958
G36004700031002000,G36004700031012001,0.08560311284,0.00782863042
G36004700031003000,G36004700031013000,1.0,0.172699075563
G36004700031003000,G36004700031021000,0.0,0.827300924437
G36004700033001000,G36004700033001000,1.0,1.0
G36004700033001001,G36004700033001001,1.0,1.0
G36004700033001002,G36004700033001001,1.0,1.0
G36004700033002000,G36004700033002000,1.0,1.0
G36004700033002001,G36004700033002001,1.0,1.0
G36004700033002002,G36004700033002002,1.0,1.0
G36004700033002003,G36004700033002003,1.0,1.0
G36004700033002004,G36004700033002004,1.0,1.0
G36004700033002005,G36004700033002005,0.0,0.170403587444
G36004700033002005,G36004700033002006,1.0,0.829596412556
G36004700033002006,G36004700033002007,1.0,1.0
G36004700033002007,G36004700033002009,1.0,1.0
